data_notificacao,num_casos,MM_casos,acumulado
2020-03-01,1,,1
2020-03-10,1,,2
2020-03-11,1,,3
2020-03-13,1,,4
2020-03-14,1,,5
2020-03-15,2,,7
2020-03-16,4,1.6,11
2020-03-17,2,1.7,13
2020-03-19,4,2.1,17
2020-03-20,8,3.1,25
2020-03-21,2,3.3,27
2020-03-22,2,3.4,29
2020-03-23,8,4.3,37
2020-03-24,2,4.0,39
2020-03-25,12,5.4,51
2020-03-26,9,6.1,60
2020-03-27,3,5.4,63
2020-03-28,2,5.4,65
2020-03-30,6,6.0,71
2020-03-31,9,6.1,80
2020-04-01,16,8.1,96
2020-04-02,5,7.1,101
2020-04-03,13,7.7,114
2020-04-04,12,9.0,126
2020-04-05,9,10.0,135
2020-04-06,18,11.7,153
2020-04-07,5,11.1,158
2020-04-08,17,11.3,175
2020-04-09,6,11.4,181
2020-04-10,6,10.4,187
2020-04-11,10,10.1,197
2020-04-12,2,9.1,199
2020-04-13,14,8.6,213
2020-04-14,16,10.1,229
2020-04-15,19,10.4,248
2020-04-16,22,12.7,270
2020-04-17,21,14.9,291
2020-04-18,6,14.3,297
2020-04-19,1,14.1,298
2020-04-20,15,14.3,313
2020-04-21,7,13.0,320
2020-04-22,11,11.9,331
2020-04-23,25,12.3,356
2020-04-24,30,13.6,386
2020-04-25,40,18.4,426
2020-04-26,22,21.4,448
2020-04-27,38,24.7,486
2020-04-28,30,28.0,516
2020-04-29,22,29.6,538
2020-04-30,34,30.9,572
2020-05-01,11,28.1,583
2020-05-02,39,28.0,622
2020-05-03,8,26.0,630
2020-05-04,38,26.0,668
2020-05-05,45,28.1,713
2020-05-06,34,29.9,747
2020-05-07,39,30.6,786
2020-05-08,37,34.3,823
2020-05-09,20,31.6,843
2020-05-10,21,33.4,864
2020-05-11,37,33.3,901
2020-05-12,43,33.0,944
2020-05-13,81,39.7,1025
2020-05-14,61,42.9,1086
2020-05-15,73,48.0,1159
2020-05-16,27,49.0,1186
2020-05-17,50,53.1,1236
2020-05-18,80,59.3,1316
2020-05-19,78,64.3,1394
2020-05-20,63,61.7,1457
2020-05-21,79,64.3,1536
