data_notificacao,num_casos,MM_casos
2020-04-01,0,
2020-04-03,0,
2020-04-04,0,
2020-04-05,0,
2020-04-10,0,
2020-04-14,0,
2020-04-15,0,0.0
2020-04-16,0,0.0
2020-04-20,0,0.0
2020-04-21,0,0.0
2020-04-22,0,0.0
2020-04-24,1,0.1
2020-04-25,0,0.1
2020-04-26,0,0.1
2020-04-28,0,0.1
2020-04-30,0,0.1
2020-05-01,0,0.1
2020-05-02,0,0.1
2020-05-05,1,0.1
2020-05-06,1,0.3
2020-05-07,0,0.3
2020-05-08,0,0.3
2020-05-10,1,0.4
2020-05-11,0,0.4
2020-05-12,0,0.4
2020-05-13,0,0.3
2020-05-14,0,0.1
2020-05-15,0,0.1
2020-05-16,1,0.3
2020-05-18,0,0.1
2020-05-19,1,0.3
2020-05-20,0,0.3
2020-05-21,0,0.3
2020-05-22,1,0.4
2020-05-23,0,0.4
2020-05-25,0,0.3
2020-05-26,0,0.3
2020-05-27,0,0.1
2020-05-28,1,0.3
2020-05-29,0,0.3
2020-06-01,0,0.1
2020-06-02,0,0.1
2020-06-03,0,0.1
2020-06-04,0,0.1
2020-06-05,1,0.3
2020-06-06,0,0.1
2020-06-07,0,0.1
2020-06-08,0,0.1
2020-06-09,0,0.1
2020-06-10,0,0.1
2020-06-11,0,0.1
2020-06-12,1,0.1
2020-06-13,0,0.1
2020-06-14,1,0.3
2020-06-15,0,0.3
2020-06-16,2,0.6
2020-06-17,0,0.6
2020-06-18,4,1.1
2020-06-19,1,1.1
2020-06-20,0,1.1
2020-06-21,0,1.0
2020-06-22,1,1.1
2020-06-23,0,0.9
2020-06-24,5,1.6
2020-06-25,4,1.6
2020-06-26,2,1.7
2020-06-27,0,1.7
2020-06-28,0,1.7
2020-06-29,1,1.7
2020-06-30,2,2.0
2020-07-01,2,1.6
2020-07-02,2,1.3
2020-07-03,6,1.9
2020-07-04,2,2.1
2020-07-05,2,2.4
2020-07-06,3,2.7
2020-07-07,0,2.4
2020-07-08,2,2.4
2020-07-09,2,2.4
2020-07-10,3,2.0
2020-07-11,1,1.9
2020-07-12,1,1.7
2020-07-13,0,1.3
2020-07-14,5,2.0
2020-07-15,3,2.1
2020-07-16,2,2.1
2020-07-17,2,2.0
2020-07-18,1,2.0
2020-07-19,2,2.1
2020-07-20,1,2.3
2020-07-21,2,1.9
2020-07-22,3,1.9
2020-07-23,1,1.7
2020-07-24,2,1.7
2020-07-25,2,1.9
2020-07-26,0,1.6
2020-07-27,2,1.7
2020-07-28,1,1.6
2020-07-29,3,1.6
2020-07-30,5,2.1
2020-07-31,3,2.3
2020-08-01,2,2.3
2020-08-02,1,2.4
2020-08-03,4,2.7
2020-08-04,4,3.1
2020-08-05,1,2.9
2020-08-06,3,2.6
2020-08-07,4,2.7
2020-08-08,1,2.6
2020-08-09,1,2.6
2020-08-10,3,2.4
2020-08-11,3,2.3
2020-08-12,3,2.6
2020-08-13,1,2.3
2020-08-14,5,2.4
2020-08-15,2,2.6
2020-08-16,3,2.9
2020-08-17,6,3.3
2020-08-18,3,3.3
2020-08-19,2,3.1
2020-08-20,2,3.3
2020-08-21,6,3.4
2020-08-22,3,3.6
2020-08-23,1,3.3
2020-08-24,10,3.9
2020-08-25,5,4.1
2020-08-26,7,4.9
2020-08-27,1,4.7
2020-08-28,7,4.9
2020-08-29,4,5.0
2020-08-30,3,5.3
2020-08-31,6,4.7
2020-09-01,5,4.7
2020-09-02,4,4.3
2020-09-03,5,4.9
2020-09-04,5,4.6
2020-09-05,3,4.4
2020-09-06,4,4.6
2020-09-07,2,4.0
2020-09-08,7,4.3
2020-09-09,9,5.0
2020-09-10,7,5.3
2020-09-11,5,5.3
2020-09-12,4,5.4
2020-09-13,3,5.3
2020-09-14,10,6.4
2020-09-15,9,6.7
2020-09-16,4,6.0
2020-09-17,8,6.1
2020-09-18,6,6.3
2020-09-19,1,5.9
2020-09-20,3,5.9
2020-09-21,5,5.1
2020-09-22,3,4.3
2020-09-23,3,4.1
2020-09-24,5,3.7
2020-09-25,7,3.9
2020-09-26,2,4.0
2020-09-27,1,3.7
2020-09-28,8,4.1
2020-09-29,8,4.9
2020-09-30,3,4.9
2020-10-01,8,5.3
2020-10-02,3,4.7
2020-10-03,12,6.1
2020-10-04,11,7.6
2020-10-05,36,11.6
2020-10-06,55,18.3
2020-10-07,42,23.9
2020-10-08,62,31.6
2020-10-09,21,34.1
2020-10-10,4,33.0
2020-10-11,2,31.7
2020-10-12,8,27.7
2020-10-13,10,21.3
2020-10-14,4,15.9
2020-10-15,13,8.9
2020-10-16,2,6.1
