,Data,Casos confirmados
0,2020-04-30,662.0
1,2020-05-01,662.0
2,2020-05-02,652.0
3,2020-05-03,698.0
4,2020-05-04,748.0
5,2020-05-05,794.0
6,2020-05-06,794.0
7,2020-05-07,810.0
8,2020-05-08,882.0
9,2020-05-09,882.0
10,2020-05-10,882.0
11,2020-05-11,1014.0
12,2020-05-12,1018.0
13,2020-05-13,1098.0
14,2020-05-14,1118.0
15,2020-05-15,1266.0
16,2020-05-16,1268.0
17,2020-05-17,1268.0
18,2020-05-18,1376.0
19,2020-05-19,1404.0
20,2020-05-20,1466.0
21,2020-05-21,1524.0
22,2020-05-22,1566.0
23,2020-05-23,1814.0
24,2020-05-24,920.0
25,2020-05-25,948.0
26,2020-05-26,995.0
27,2020-05-27,948.0
28,2020-05-28,1039.0
29,2020-05-29,1097.0
30,2020-05-30,1097.0
31,2020-05-31,1153.0
32,2020-06-01,1229.0
33,2020-06-02,1229.0
34,2020-06-03,1287.0
35,2020-06-04,1313.0
36,2020-06-05,1430.0
37,2020-06-06,1430.0
38,2020-06-07,1556.0
39,2020-06-08,1593.0
40,2020-06-09,1593.0
41,2020-06-10,1711.0
42,2020-06-11,2731.0
43,2020-06-12,2760.0
44,2020-06-13,2927.0
45,2020-06-15,2994.0
46,2020-06-16,3142.0
47,2020-06-17,3142.0
48,2020-06-18,3142.0
49,2020-06-19,3142.0
50,2020-06-20,3142.0
51,2020-06-21,3977.0
52,2020-06-22,4161.0
53,2020-06-23,4710.0
54,2020-06-24,4888.0
55,2020-06-25,4888.0
56,2020-06-26,5377.0
57,2020-06-28,5377.0
58,2020-06-29,5825.0
59,2020-06-30,5955.0
60,2020-07-01,5955.0
61,2020-07-02,6244.0
62,2020-07-03,6244.0
63,2020-07-04,6244.0
64,2020-07-06,6244.0
65,2020-07-07,6244.0
66,2020-07-08,6244.0
67,2020-07-09,6244.0
68,2020-07-10,6244.0
69,2020-07-13,6244.0
70,2020-07-14,6244.0
71,2020-07-15,6244.0
72,2020-07-16,8624.0
73,2020-07-17,8787.0
74,2020-07-18,8787.0
75,2020-07-19,9502.0
76,2020-07-20,9860.0
77,2020-07-21,9860.0
78,2020-07-22,10047.0
79,2020-07-23,10047.0
80,2020-07-24,10047.0
81,2020-07-25,10047.0
82,2020-07-27,10047.0
83,2020-07-28,10047.0
84,2020-07-29,10047.0
85,2020-07-30,10047.0
86,2020-07-31,14279.0
87,2020-08-01,14279.0
88,2020-08-02,14279.0
89,2020-08-03,14279.0
90,2020-08-04,16519.0
91,2020-08-05,16519.0
92,2020-08-06,16519.0
93,2020-08-07,16519.0
94,2020-08-08,19348.0
95,2020-08-09,19348.0
96,2020-08-10,19348.0
97,2020-08-11,19348.0
98,2020-08-12,21657.0
99,2020-08-13,21657.0
100,2020-08-14,21657.0
101,2020-08-17,23470.0
102,2020-08-18,23470.0
103,2020-08-19,23470.0
104,2020-08-20,25365.0
105,2020-08-21,25365.0
106,2020-08-22,25365.0
107,2020-08-23,25365.0
108,2020-08-24,25365.0
109,2020-08-25,25365.0
