data,casos,obitos,MM_casos,MM_obitos
2020-04-03,61,1,,
2020-04-04,8,1,,
2020-04-05,4,0,,
2020-04-06,0,2,,
2020-04-07,3,0,,
2020-04-08,10,1,,
2020-04-09,15,0,14.4,0.71
2020-04-10,6,0,6.6,0.57
2020-04-11,8,1,6.6,0.57
2020-04-12,13,1,7.9,0.71
2020-04-13,31,0,12.3,0.43
2020-04-14,0,0,11.9,0.43
2020-04-15,18,0,13.0,0.29
2020-04-16,7,1,11.9,0.43
2020-04-17,11,1,12.6,0.57
2020-04-18,32,0,16.0,0.43
2020-04-19,4,1,14.7,0.43
2020-04-20,5,0,11.0,0.43
2020-04-21,5,0,11.7,0.43
2020-04-22,15,0,11.3,0.43
2020-04-23,0,1,10.3,0.43
2020-04-24,17,0,11.1,0.29
2020-04-25,21,0,9.6,0.29
2020-04-26,52,0,16.4,0.14
2020-04-27,16,0,18.0,0.14
2020-04-28,32,0,21.9,0.14
2020-04-29,13,1,21.6,0.29
2020-04-30,41,0,27.4,0.14
2020-05-01,3,1,25.4,0.29
2020-05-02,13,0,24.3,0.29
2020-05-03,17,0,19.3,0.29
2020-05-04,22,0,20.1,0.29
2020-05-05,44,1,21.9,0.43
2020-05-06,13,6,21.9,1.14
2020-05-07,41,0,21.9,1.14
2020-05-08,58,1,29.7,1.14
2020-05-09,8,1,29.0,1.29
2020-05-10,26,0,30.3,1.29
2020-05-11,43,0,33.3,1.29
2020-05-12,21,3,30.0,1.57
2020-05-13,45,4,34.6,1.29
2020-05-14,20,0,31.6,1.29
2020-05-15,82,0,35.0,1.14
2020-05-16,7,0,34.9,1.0
2020-05-17,72,0,41.4,1.0
2020-05-18,38,1,40.7,1.14
2020-05-19,45,3,44.1,1.14
2020-05-20,67,2,47.3,0.86
2020-05-21,17,2,46.9,1.14
2020-05-22,176,2,60.3,1.43
2020-05-23,50,0,66.4,1.43
2020-05-24,40,0,61.9,1.43
2020-05-25,19,3,59.1,1.71
2020-05-26,97,5,66.6,2.0
2020-05-27,84,1,69.0,1.86
2020-05-28,92,3,79.7,2.0
2020-05-29,53,9,62.1,3.0
2020-05-30,68,0,64.7,3.0
2020-05-31,118,0,75.9,3.0
2020-06-01,30,3,77.4,3.0
2020-06-02,198,9,91.9,3.57
2020-06-03,59,2,88.3,3.71
2020-06-04,176,1,100.3,3.43
2020-06-05,150,1,114.1,2.29
2020-06-06,12,2,106.1,2.57
2020-06-07,24,0,92.7,2.57
2020-06-08,28,1,92.4,2.29
2020-06-09,298,3,106.7,1.43
2020-06-10,61,3,107.0,1.57
2020-06-11,39,0,87.4,1.43
2020-06-12,196,1,94.0,1.43
2020-06-13,11,2,93.9,1.43
2020-06-15,223,11,122.3,3.0
2020-06-16,487,0,187.9,2.86
2020-06-17,453,0,210.0,2.43
2020-06-18,117,1,218.0,2.14
2020-06-19,391,7,268.3,3.14
2020-06-20,135,4,259.6,3.57
2020-06-21,240,3,292.3,3.71
2020-06-22,188,3,287.3,2.57
2020-06-23,98,13,231.7,4.43
2020-06-24,396,4,223.6,5.0
2020-06-25,268,5,245.1,5.57
2020-06-26,73,10,199.7,6.0
2020-06-27,52,4,187.9,6.0
2020-06-28,17,1,156.0,5.71
2020-06-29,381,1,183.6,5.43
2020-06-30,89,9,182.3,4.86
2020-07-01,146,5,146.6,5.0
2020-07-02,366,11,160.6,5.86
2020-07-03,376,15,203.9,6.57
2020-07-04,45,4,202.9,6.57
2020-07-05,22,0,203.6,6.43
2020-07-06,351,8,199.3,7.43
2020-07-07,348,22,236.3,9.29
2020-07-08,340,10,264.0,10.0
2020-07-09,226,12,244.0,10.14
2020-07-10,306,13,234.0,9.86
2020-07-11,31,2,232.0,9.57
2020-07-12,383,1,283.6,9.71
2020-07-13,33,5,238.1,9.29
2020-07-14,348,1,238.1,6.29
2020-07-15,284,7,230.1,5.86
2020-07-16,88,17,210.4,6.57
2020-07-17,278,10,206.4,6.14
2020-07-18,31,3,206.4,6.29
2020-07-19,1,1,151.9,6.29
2020-07-20,32,13,151.7,7.43
2020-07-21,126,5,120.0,8.0
2020-07-22,1305,17,265.9,9.43
2020-07-23,731,32,357.7,11.57
2020-07-24,495,20,388.7,13.0
2020-07-25,42,13,390.3,14.43
2020-07-26,316,3,435.3,14.71
2020-07-27,761,5,539.4,13.57
2020-07-28,763,10,630.4,14.29
2020-07-29,607,12,530.7,13.57
2020-07-30,714,6,528.3,9.86
2020-07-31,690,33,556.1,11.71
2020-08-01,311,9,594.6,11.14
2020-08-02,12,0,551.1,10.71
2020-08-03,54,6,450.1,10.86
2020-08-04,490,15,411.1,11.57
2020-08-05,1139,13,487.1,11.71
2020-08-06,1107,18,543.3,13.43
2020-08-07,719,2,547.4,9.0
2020-08-08,566,3,583.9,8.14
2020-08-09,189,0,609.1,8.14
2020-08-10,296,7,643.7,8.29
2020-08-11,440,17,636.6,8.57
2020-08-12,696,20,573.3,9.57
2020-08-13,1442,22,621.1,10.14
2020-08-14,537,0,595.1,9.86
2020-08-15,178,34,539.7,14.29
2020-08-16,218,0,543.9,14.29
2020-08-17,1053,6,652.0,14.14
2020-08-18,896,33,717.1,16.43
2020-08-19,838,11,737.4,15.14
2020-08-20,47,61,538.1,20.71
2020-08-21,853,20,583.3,23.57
2020-08-22,414,13,617.0,20.57
2020-08-23,754,7,693.6,21.57
2020-08-24,259,5,580.1,21.43
2020-08-25,578,19,534.7,19.43
2020-08-26,446,27,478.7,21.71
2020-08-27,1040,27,620.6,16.86
