data_notificacao,num_casos,MM_casos
2020-04-01,1,
2020-04-03,1,
2020-04-04,2,
2020-04-05,2,
2020-04-10,1,
2020-04-14,1,
2020-04-15,1,1.3
2020-04-16,1,1.3
2020-04-20,1,1.3
2020-04-21,1,1.1
2020-04-22,1,1.0
2020-04-25,1,1.0
2020-04-26,2,1.1
2020-04-28,3,1.4
2020-04-30,1,1.4
2020-05-01,4,1.9
2020-05-02,1,1.9
2020-05-05,1,1.9
2020-05-06,2,2.0
2020-05-07,2,2.0
2020-05-08,1,1.7
2020-05-10,1,1.7
2020-05-11,4,1.7
2020-05-12,1,1.7
2020-05-13,4,2.1
2020-05-14,1,2.0
2020-05-15,2,2.0
2020-05-16,1,2.0
2020-05-18,6,2.7
2020-05-19,3,2.6
2020-05-20,3,2.9
2020-05-21,2,2.6
2020-05-22,6,3.3
2020-05-23,2,3.3
2020-05-25,4,3.7
2020-05-26,3,3.3
2020-05-27,6,3.7
2020-05-28,4,3.9
2020-05-29,5,4.3
2020-06-01,3,3.9
2020-06-02,5,4.3
2020-06-03,8,4.9
2020-06-04,7,5.4
2020-06-05,8,5.7
2020-06-06,4,5.7
2020-06-07,3,5.4
2020-06-08,4,5.6
2020-06-09,1,5.0
2020-06-10,8,5.0
2020-06-11,9,5.3
2020-06-12,7,5.1
2020-06-13,6,5.4
2020-06-14,6,5.9
2020-06-15,5,6.0
2020-06-16,12,7.6
2020-06-17,12,8.1
2020-06-18,10,8.3
2020-06-19,9,8.6
2020-06-20,5,8.4
2020-06-21,7,8.6
2020-06-22,14,9.9
2020-06-23,8,9.3
2020-06-24,14,9.6
2020-06-25,11,9.7
2020-06-26,13,10.3
2020-06-27,5,10.3
2020-06-28,5,10.0
2020-06-29,13,9.9
2020-06-30,12,10.4
2020-07-01,21,11.4
2020-07-02,10,11.3
2020-07-03,14,11.4
2020-07-04,12,12.4
2020-07-05,9,13.0
2020-07-06,10,12.6
2020-07-07,14,12.9
2020-07-08,13,11.7
2020-07-09,14,12.3
2020-07-10,16,12.6
2020-07-11,8,12.0
2020-07-12,5,11.4
2020-07-13,6,10.9
2020-07-14,9,10.1
2020-07-15,16,10.6
2020-07-16,20,11.4
2020-07-17,7,10.1
2020-07-18,3,9.4
2020-07-19,10,10.1
2020-07-20,15,11.4
2020-07-21,16,12.4
2020-07-22,16,12.4
2020-07-23,15,11.7
2020-07-24,14,12.7
2020-07-25,13,14.1
2020-07-26,9,14.0
2020-07-27,17,14.3
2020-07-28,19,14.7
2020-07-29,17,14.9
2020-07-30,12,14.4
2020-07-31,33,17.1
2020-08-01,3,15.7
2020-08-02,5,15.1
2020-08-03,24,16.1
2020-08-04,17,15.9
2020-08-05,25,17.0
2020-08-06,19,18.0
2020-08-07,16,15.6
2020-08-08,9,16.4
2020-08-09,7,16.7
2020-08-10,20,16.1
2020-08-11,15,15.9
2020-08-12,18,14.9
2020-08-13,10,13.6
2020-08-14,11,12.9
2020-08-15,6,12.4
2020-08-16,7,12.4
2020-08-17,16,11.9
2020-08-18,10,11.1
2020-08-19,8,9.7
2020-08-20,17,10.7
2020-08-21,13,11.0
2020-08-22,4,10.7
2020-08-23,5,10.4
2020-08-24,13,10.0
2020-08-25,10,10.0
2020-08-26,21,11.9
2020-08-27,8,10.6
2020-08-28,10,10.1
2020-08-29,6,10.4
2020-08-30,8,10.9
2020-08-31,16,11.3
2020-09-01,22,13.0
2020-09-02,6,10.9
2020-09-03,10,11.1
2020-09-04,5,10.4
2020-09-05,5,10.3
2020-09-06,2,9.4
2020-09-08,6,8.0
2020-09-09,6,5.7
2020-09-10,7,5.9
2020-09-11,3,4.9
2020-09-12,2,4.4
2020-09-14,3,4.1
2020-09-15,3,4.3
2020-09-16,2,3.7
2020-09-18,1,3.0
