bairro,cep,localizacao
Alphaville Flamboyant ,74884-534,"[-16.7070932, -49.2122502]"
Alto da Glória ,74815-610,"[-16.7206511, -49.2250865]"
Capuava ,74450-410,"[-16.6645242, -49.316575]"
Cidade Jardim ,74425-250,"[-16.6761304, -49.3121233]"
Conjunto Primavera ,74477-207,"[-16.5878046, -49.37404129999999]"
Conjunto Vera Cruz ,74495-704,"[-16.6794501, -49.3805473]"
Faicalville ,74350-010,"[-16.7482399, -49.3106065]"
Floresta ,74477-145,"[-16.5884378, -49.3345063]"
Goiá ,74485-260,"[-16.6845253, -49.3289954]"
Goiânia 2 ,74663-690,"[-16.6321319, -49.2511995]"
Jardim América ,74265-970,"[-16.6932511, -49.2866779]"
Jardim das Esmeraldas ,74830-020,"[-16.7306725, -49.2561456]"
Jd. Atlântico ,74343-610,"[36.7244315, -94.7834527]"
Jd. Balneário Meia Ponte ,74590-020,"[-16.6021682, -49.2866779]"
Jd. Bela Vista ,74863-115,"[-16.7304426, -49.2299862]"
Jd. Curitiba ,74481-280,"[-16.6005227, -49.3286783]"
Jd. Europa ,74325-256,"[-16.7079476, -49.313301]"
Jd. Goiás ,74805-105,"[-16.687821, -49.24447050000001]"
Jd. Guanabara ,74675-010,"[-16.624157, -49.2123401]"
Jd. Guanabara II ,74683-540,"[-16.6116081, -49.2135166]"
Jd. Guanabara III ,74683-490,"[-16.6133108, -49.220332]"
Jd. Itaipu ,74355-518,"[-16.7816949, -49.3669715]"
Jd. Liberdade ,74475-520,"[-16.615153, -49.34736230000001]"
Jd. Mariliza ,74885-020,"[-16.7339342, -49.1965789]"
Jd. Nova Esperanca ,74465-510,"[-16.6426604, -49.3275266]"
Jd. Novo Mundo ,74705-205,"[-16.6724924, -49.2253547]"
Jd. Petrópolis ,74460-450,"[-16.6632718, -49.3424738]"
Jd. Planalto ,74333-040,"[-16.7151444, -49.3016811]"
Jd. Presidente ,74353-010,"[-16.7376687, -49.3265894]"
Jd. Vila Boa ,74360-480,"[-16.7312971, -49.3112405]"
Nova Suiça ,74268-165,"[-16.7142795, -49.282957]"
Parque Amazônia ,74840-200,"[-16.7357659, -49.2719454]"
Parque Anhanguera ,74340-030,"[-16.7225783, -49.3026028]"
Parque Atheneu ,74893-255,"[-16.7435032, -49.19549180000001]"
Parque Industrial de Goiânia ,74630-070,"[-16.6624206, -49.2342047]"
Parque Oeste Industrial ,74375-110,"[-16.6949928, -49.3324468]"
Parque Santa Rita ,74393-412,"[-16.7280553, -49.3729306]"
Parque das Amendoeiras ,74780-380,"[-16.6441015, -49.2005539]"
Parque das Laranjeiras ,74855-020,"[-16.7233193, -49.2245836]"
Portal do Sol II ,74884-632,"[35.1497852, -96.5143087]"
Res. Aldeia do Vale ,74680-210,"[-16.6116461, -49.1862646]"
Res. Brisas da Mata ,74475-373,"[-16.5932218, -49.3068818]"
Res. Eldorado ,74367-970,"[-16.7074411, -49.3281099]"
Res. Goiânia Viva ,74484-424,"[-16.6964995, -49.3539725]"
Res. Granville ,74366-028,"[-16.7126171, -49.3277441]"
Res. Itaipú ,74356-000,"[-16.7916518, -49.3598417]"
Res. Petropolis ,74460-770,"[-16.6632718, -49.3424738]"
Res. Recanto das Garças ,74485-768,"[-16.6452689, -49.38665719999999]"
Res. Recanto do Bosque ,74474-330,"[-16.6064168, -49.3136181]"
Res. Vale dos Sonhos I ,74684-105,"[-16.5989473, -49.2038761]"
Rodoviário ,74425-700,"[-16.6501031, -49.34822519999999]"
Santa Genoveva ,74672-840,"[-16.6309351, -49.2258711]"
Santo Hilário ,74780-050,"[-16.650309, -49.1926445]"
Setor Aeroporto ,74075-070,"[-16.6724958, -49.2649093]"
Setor Bela Vista ,74823-422,"[-16.7160141, -49.2613339]"
Setor Bueno ,74223-010,"[-16.6956937, -49.2640252]"
Setor Campinas ,74523-050,"[-16.6566577, -49.2969465]"
Setor Candida de Morais ,74463-165,"[-16.6467499, -49.3328008]"
Setor Central ,74013-010,"[-16.6786714, -49.2570942]"
Setor Centro Oeste ,74560-560,"[-16.6602154, -49.2688551]"
Setor Coimbra ,74535-310,"[-16.6760299, -49.2874925]"
Setor Criméia Leste ,74660-010,"[-16.6478595, -49.2573319]"
Setor Criméia Oeste ,74563-010,"[-16.6470683, -49.2694111]"
Setor Estrela Dalva ,74475-292,"[-16.6104128, -49.3270539]"
Setor Garavelo ,74354-290,"[-16.7558459, -49.346629]"
Setor Jaó ,74674-130,"[-16.6409052, -49.22195]"
Setor Leste Universitário ,74603-067,"[-16.6888789, -49.2434537]"
Setor Leste Vila Nova ,74635-130,"[49.21162650000001, 9.7053905]"
Setor Marechal Rondon ,74560-390,"[-16.6621167, -49.2717897]"
Setor Marista ,74175-120,"[-16.709199, -49.2622425]"
Setor Morada do Sol ,74475-226,"[-16.6173655, -49.3234805]"
Setor Negrão de Lima ,74650-192,"[-16.6570704, -49.2480821]"
Setor Norte Ferroviário ,74063-040,"[-16.6613171, -49.26433189999999]"
Setor Novo Horizonte ,74365-150,"[-16.7219058, -49.316093]"
Setor Novo Planalto ,74480-387,"[-16.6211134, -49.3435839]"
Setor Oeste ,74115-040,"[-16.6616973, -49.2784421]"
Setor Parque Tremendão ,74475-001,"[-16.5949535, -49.31710529999999]"
Setor Pedro Ludovico ,74820-140,"[-16.7052245, -49.25080519999999]"
Setor Recanto das Minas Gerais ,74785-132,"[-16.6456602, -49.18434509999999]"
Setor Santos Dumont ,74463-430,"[-16.6497997, -49.3477087]"
Setor Sudoeste ,74303-060,"[-16.6928974, -49.3065143]"
Setor Sul ,74080-425,"[-16.679792, -49.2507245]"
Setor São Jose ,74440-180,"[-16.65699, -49.2974159]"
Setor União ,74313-310,"[-16.7077888, -49.3042916]"
Setor Urias Magalhaes ,74565-570,"[-16.6360957, -49.2768558]"
Setor dos Funcionários ,74543-100,"[-16.6715669, -49.283629]"
Solange Parque I ,74484-372,"[-16.7126221, -49.3638077]"
São Carlos ,74477-082,"[-16.5984609, -49.3476281]"
São Francisco ,74553-010,"[-16.6614424, -49.2782356]"
Vila Alpes ,74310-010,"[-16.7081596, -49.3068117]"
Vila Canaa ,74415-542,"[-16.6871488, -49.3147276]"
Vila Concórdia ,74770-405,"[-16.6606252, -49.1905862]"
Vila Finsocial ,74473-525,"[-16.6261091, -49.32725139999999]"
Vila Itatiaia ,74690-505,"[-16.5957572, -49.258295]"
Vila Jardim Pompéia ,74685-730,"[-16.6195188, -49.2545914]"
Vila Jardim São Judas Tadeu ,74685-800,"[-16.6165618, -49.2461329]"
Vila João Vaz ,74445-010,"[-16.6522288, -49.3115575]"
Vila Maria José ,74815-450,"[-16.7113881, -49.2417939]"
Vila Mutirão I ,74480-970,"[-16.6057158, -49.3424738]"
Vila Pedroso ,74770-130,"[-16.6640549, -49.1838905]"
Vila Redenção ,74850-235,"[-16.7192989, -49.2442516]"
Vila Regina ,74453-460,"[-16.6590214, -49.3343071]"
Vila Rosa ,74345-020,"[-16.7447479, -49.30284049999999]"
