data_notificacao,num_casos,MM_casos
2020-03-01,1,
2020-03-10,1,
2020-03-11,1,
2020-03-13,1,
2020-03-14,1,
2020-03-15,2,
2020-03-16,4,1.6
2020-03-17,1,1.6
2020-03-19,4,2.0
2020-03-20,8,3.0
2020-03-21,2,3.1
2020-03-22,2,3.3
2020-03-23,8,4.1
2020-03-24,2,3.9
2020-03-25,12,5.4
2020-03-26,9,6.1
2020-03-27,2,5.3
2020-03-28,2,5.3
2020-03-30,5,5.7
2020-03-31,9,5.9
2020-04-01,16,7.9
2020-04-02,4,6.7
2020-04-03,12,7.1
2020-04-04,10,8.3
2020-04-05,10,9.4
2020-04-06,18,11.3
2020-04-07,5,10.7
2020-04-08,17,10.9
2020-04-09,6,11.1
2020-04-10,6,10.3
2020-04-11,10,10.3
2020-04-12,2,9.1
2020-04-13,14,8.6
2020-04-14,16,10.1
2020-04-15,19,10.4
2020-04-16,22,12.7
2020-04-17,21,14.9
2020-04-18,6,14.3
2020-04-19,1,14.1
2020-04-20,14,14.1
2020-04-21,7,12.9
2020-04-22,11,11.7
2020-04-23,24,12.0
2020-04-24,29,13.1
2020-04-25,40,18.0
2020-04-26,21,20.9
2020-04-27,38,24.3
2020-04-28,30,27.6
2020-04-29,21,29.0
2020-04-30,33,30.3
2020-05-01,11,27.7
2020-05-02,38,27.4
2020-05-03,8,25.6
2020-05-04,38,25.6
2020-05-05,45,27.7
2020-05-06,33,29.4
2020-05-07,39,30.3
2020-05-08,37,34.0
2020-05-09,20,31.4
2020-05-10,20,33.1
2020-05-11,37,33.0
2020-05-12,43,32.7
2020-05-13,80,39.4
2020-05-14,62,42.7
2020-05-15,72,47.7
2020-05-16,25,48.4
2020-05-17,48,52.4
2020-05-18,79,58.4
2020-05-19,78,63.4
2020-05-20,63,61.0
2020-05-21,79,63.4
2020-05-22,93,66.4
2020-05-23,60,71.4
2020-05-24,25,68.1
2020-05-25,78,68.0
2020-05-26,54,64.6
2020-05-27,126,73.6
2020-05-28,111,78.1
2020-05-29,138,84.6
2020-05-30,67,85.6
2020-05-31,65,91.3
2020-06-01,149,101.4
2020-06-02,206,123.1
2020-06-03,171,129.6
2020-06-04,207,143.3
2020-06-05,155,145.7
2020-06-06,171,160.6
2020-06-07,114,167.6
2020-06-08,215,177.0
2020-06-09,206,177.0
2020-06-10,197,180.7
2020-06-11,123,168.7
2020-06-12,150,168.0
2020-06-13,75,154.3
2020-06-14,117,154.7
2020-06-15,208,153.7
2020-06-16,210,154.3
2020-06-17,173,150.9
2020-06-18,164,156.7
2020-06-19,173,160.0
2020-06-20,143,169.7
2020-06-21,151,174.6
2020-06-22,196,172.9
2020-06-23,284,183.4
2020-06-24,238,192.7
2020-06-25,227,201.7
2020-06-26,242,211.6
2020-06-27,138,210.9
2020-06-28,106,204.4
2020-06-29,232,209.6
2020-06-30,350,219.0
2020-07-01,320,230.7
2020-07-02,356,249.1
2020-07-03,411,273.3
2020-07-04,248,289.0
2020-07-05,122,291.3
2020-07-06,461,324.0
2020-07-07,467,340.7
2020-07-08,588,379.0
2020-07-09,521,402.6
2020-07-10,403,401.4
2020-07-11,282,406.3
2020-07-12,155,411.0
2020-07-13,472,412.6
2020-07-14,402,403.3
2020-07-15,389,374.9
2020-07-16,380,354.7
2020-07-17,300,340.0
2020-07-18,135,319.0
2020-07-19,69,306.7
2020-07-20,316,284.4
2020-07-21,665,322.0
2020-07-22,514,339.9
2020-07-23,567,366.6
2020-07-24,454,388.6
2020-07-25,211,399.4
2020-07-26,174,414.4
2020-07-27,563,449.7
2020-07-28,520,429.0
2020-07-29,547,433.7
2020-07-30,659,446.9
2020-07-31,657,475.9
2020-08-01,311,490.1
2020-08-02,195,493.1
2020-08-03,877,538.0
2020-08-04,977,603.3
2020-08-05,821,642.4
2020-08-06,711,649.9
2020-08-07,788,668.6
2020-08-08,295,666.3
2020-08-09,146,659.3
2020-08-10,734,638.9
2020-08-11,1072,652.4
2020-08-12,1195,705.9
2020-08-13,996,746.6
2020-08-14,749,741.0
2020-08-15,194,726.6
2020-08-16,122,723.1
2020-08-17,1042,767.1
2020-08-18,733,718.7
2020-08-19,695,647.3
2020-08-20,527,580.3
2020-08-21,563,553.7
2020-08-22,278,565.7
2020-08-23,139,568.1
2020-08-24,840,539.3
2020-08-25,764,543.7
2020-08-26,697,544.0
2020-08-27,732,573.3
2020-08-28,734,597.7
2020-08-29,171,582.4
2020-08-30,130,581.1
2020-08-31,623,550.1
2020-09-01,602,527.0
2020-09-02,691,526.1
2020-09-03,613,509.1
2020-09-04,369,457.0
2020-09-05,260,469.7
2020-09-06,77,462.1
2020-09-07,200,401.7
2020-09-08,512,388.9
2020-09-09,503,362.0
2020-09-10,510,347.3
2020-09-11,524,369.4
2020-09-12,419,392.1
2020-09-13,359,432.4
2020-09-14,947,539.1
2020-09-15,942,600.6
2020-09-16,467,595.4
2020-09-17,358,573.7
2020-09-18,113,515.0
