index,data,num_casos,obitos
1,2020-04-03,61,1
12,2020-04-04,69,2
22,2020-04-05,73,2
23,2020-04-06,73,4
24,2020-04-07,76,4
25,2020-04-08,86,5
26,2020-04-09,101,5
27,2020-04-10,107,5
28,2020-04-11,115,6
2,2020-04-12,128,8
3,2020-04-13,160,8
4,2020-04-14,159,7
5,2020-04-15,177,7
6,2020-04-16,184,8
7,2020-04-17,195,9
8,2020-04-18,227,9
9,2020-04-19,231,10
10,2020-04-20,236,10
11,2020-04-21,241,10
13,2020-04-22,256,10
14,2020-04-23,256,11
15,2020-04-24,273,11
16,2020-04-25,294,11
17,2020-04-26,346,11
18,2020-04-27,362,11
19,2020-04-28,394,11
20,2020-04-29,407,12
21,2020-04-30,448,12
35,2020-05-01,451,13
0,2020-05-02,464,13
29,2020-05-03,481,13
36,2020-05-04,503,13
37,2020-05-05,547,14
38,2020-05-06,560,20
39,2020-05-07,601,20
40,2020-05-08,659,21
41,2020-05-09,667,22
42,2020-05-10,693,22
30,2020-05-11,736,22
43,2020-05-12,757,25
44,2020-05-13,802,30
45,2020-05-14,822,30
46,2020-05-15,904,29
31,2020-05-16,911,29
32,2020-05-17,983,29
33,2020-05-18,1021,30
47,2020-05-19,1066,33
48,2020-05-20,1133,35
34,2020-05-21,1150,37
49,2020-05-22,1326,39
50,2020-05-23,1376,39
51,2020-05-24,1416,39
52,2020-05-25,1435,42
53,2020-05-26,1532,47
54,2020-05-27,1616,48
55,2020-05-28,1708,51
56,2020-05-29,1761,60
57,2020-05-30,1829,60
58,2020-05-31,1947,60
59,2020-06-01,1977,63
60,2020-06-02,2175,72
61,2020-06-03,2234,74
62,2020-06-04,2410,75
63,2020-06-05,2560,76
64,2020-06-06,2572,78
65,2020-06-07,2596,78
66,2020-06-08,2624,79
67,2020-06-09,2922,82
68,2020-06-10,2983,85
69,2020-06-11,3022,85
70,2020-06-12,3218,86
71,2020-06-13,3229,88
72,2020-06-15,3452,99
73,2020-06-16,3939,99
74,2020-06-17,4392,99
75,2020-06-18,4509,100
76,2020-06-19,4900,107
77,2020-06-20,5035,111
78,2020-06-21,5275,114
79,2020-06-22,5463,117
80,2020-06-23,5561,130
81,2020-06-24,5957,134
82,2020-06-25,6225,139
83,2020-06-26,6298,149
84,2020-06-27,6350,153
85,2020-06-28,6367,154
86,2020-06-29,6748,155
87,2020-06-30,6837,164
109,2020-07-01,6983,169
110,2020-07-02,7349,180
111,2020-07-03,7725,195
112,2020-07-04,7770,199
113,2020-07-05,7792,199
114,2020-07-06,8143,207
115,2020-07-07,8491,229
116,2020-07-08,8831,239
117,2020-07-09,9057,251
118,2020-07-10,9363,264
88,2020-07-11,9394,266
89,2020-07-12,9777,267
90,2020-07-13,9810,272
91,2020-07-14,10158,273
92,2020-07-15,10442,280
93,2020-07-16,10530,297
94,2020-07-17,10808,307
95,2020-07-18,10839,310
96,2020-07-19,10840,311
97,2020-07-20,10872,324
98,2020-07-21,10998,329
99,2020-07-22,12303,346
100,2020-07-23,13034,378
101,2020-07-24,13529,398
102,2020-07-25,13571,411
103,2020-07-26,13887,414
104,2020-07-27,14648,419
105,2020-07-28,15411,429
106,2020-07-29,16018,441
107,2020-07-30,16732,447
108,2020-07-31,17422,480
126,2020-08-01,17733,489
127,2020-08-02,17745,489
128,2020-08-03,17799,495
129,2020-08-04,18289,510
130,2020-08-05,19428,523
131,2020-08-06,20535,541
132,2020-08-07,21254,543
133,2020-08-08,21820,546
134,2020-08-09,22009,546
135,2020-08-10,22305,553
136,2020-08-11,22745,570
137,2020-08-12,23441,590
138,2020-08-13,24883,612
139,2020-08-14,25420,612
140,2020-08-15,25598,646
141,2020-08-16,25816,646
142,2020-08-17,26869,652
143,2020-08-18,27765,685
144,2020-08-19,28603,696
145,2020-08-20,28650,757
146,2020-08-21,29503,777
147,2020-08-22,29917,790
148,2020-08-23,30671,797
149,2020-08-24,30930,802
119,2020-08-25,31508,821
120,2020-08-26,31954,848
121,2020-08-27,32994,875
122,2020-08-28,33342,886
123,2020-08-29,33718,903
124,2020-08-30,33853,903
125,2020-08-31,34002,906
150,2020-09-01,34750,933
151,2020-09-02,35291,945
152,2020-09-03,36292,962
153,2020-09-04,36757,977
154,2020-09-05,37529,982
155,2020-09-06,38129,985
156,2020-09-07,38181,987
157,2020-09-08,38521,991
158,2020-09-09,38890,1022
159,2020-09-10,40142,1050
160,2020-09-11,41116,1069
161,2020-09-12,41692,1072
162,2020-09-13,41956,1075
163,2020-09-14,43564,1094
164,2020-09-15,45438,1114
165,2020-09-16,46645,1127
166,2020-09-17,48529,1163
