data_notificacao,num_casos
2020-03-01,1
2020-03-10,1
2020-03-11,1
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,4
2020-03-17,1
2020-03-19,4
2020-03-20,8
2020-03-21,2
2020-03-22,2
2020-03-23,8
2020-03-24,2
2020-03-25,12
2020-03-26,9
2020-03-27,2
2020-03-28,2
2020-03-30,5
2020-03-31,9
2020-04-01,16
2020-04-02,4
2020-04-03,12
2020-04-04,10
2020-04-05,10
2020-04-06,18
2020-04-07,5
2020-04-08,17
2020-04-09,6
2020-04-10,6
2020-04-11,10
2020-04-12,2
2020-04-13,14
2020-04-14,16
2020-04-15,19
2020-04-16,22
2020-04-17,21
2020-04-18,6
2020-04-19,1
2020-04-20,14
2020-04-21,7
2020-04-22,11
2020-04-23,24
2020-04-24,29
2020-04-25,40
2020-04-26,21
2020-04-27,38
2020-04-28,30
2020-04-29,21
2020-04-30,33
2020-05-01,11
2020-05-02,38
2020-05-03,8
2020-05-04,38
2020-05-05,45
2020-05-06,33
2020-05-07,39
2020-05-08,37
2020-05-09,20
2020-05-10,20
2020-05-11,37
2020-05-12,43
2020-05-13,80
2020-05-14,62
2020-05-15,72
2020-05-16,25
2020-05-17,48
2020-05-18,79
2020-05-19,78
2020-05-20,63
2020-05-21,79
2020-05-22,93
2020-05-23,60
2020-05-24,25
2020-05-25,78
2020-05-26,54
2020-05-27,126
2020-05-28,111
2020-05-29,138
2020-05-30,67
2020-05-31,65
2020-06-01,149
2020-06-02,206
2020-06-03,171
2020-06-04,207
2020-06-05,155
2020-06-06,171
2020-06-07,114
2020-06-08,215
2020-06-09,206
2020-06-10,197
2020-06-11,123
2020-06-12,150
2020-06-13,75
2020-06-14,117
2020-06-15,208
2020-06-16,210
2020-06-17,173
2020-06-18,164
2020-06-19,173
2020-06-20,143
2020-06-21,151
2020-06-22,196
2020-06-23,284
2020-06-24,238
2020-06-25,227
2020-06-26,242
2020-06-27,138
2020-06-28,106
2020-06-29,232
2020-06-30,350
2020-07-01,320
2020-07-02,356
2020-07-03,411
2020-07-04,248
2020-07-05,122
2020-07-06,461
2020-07-07,467
2020-07-08,588
2020-07-09,521
2020-07-10,403
2020-07-11,282
2020-07-12,155
2020-07-13,472
2020-07-14,402
2020-07-15,389
2020-07-16,380
2020-07-17,300
2020-07-18,135
2020-07-19,69
2020-07-20,316
2020-07-21,665
2020-07-22,514
2020-07-23,567
2020-07-24,454
2020-07-25,211
2020-07-26,174
2020-07-27,563
2020-07-28,520
2020-07-29,547
2020-07-30,659
2020-07-31,657
2020-08-01,311
2020-08-02,195
2020-08-03,877
2020-08-04,977
2020-08-05,821
2020-08-06,711
2020-08-07,788
2020-08-08,295
2020-08-09,146
2020-08-10,734
2020-08-11,1072
2020-08-12,1195
2020-08-13,996
2020-08-14,749
2020-08-15,194
2020-08-16,122
2020-08-17,1042
2020-08-18,733
2020-08-19,695
2020-08-20,527
2020-08-21,563
2020-08-22,278
2020-08-23,139
2020-08-24,840
2020-08-25,764
2020-08-26,697
2020-08-27,732
2020-08-28,734
2020-08-29,171
2020-08-30,130
2020-08-31,623
2020-09-01,602
2020-09-02,691
2020-09-03,613
2020-09-04,369
2020-09-05,260
2020-09-06,77
2020-09-07,200
2020-09-08,512
2020-09-09,503
2020-09-10,510
2020-09-11,524
2020-09-12,419
2020-09-13,359
2020-09-14,947
2020-09-15,942
2020-09-16,467
2020-09-17,358
2020-09-18,113
