data,bairro,num_casos
2020-05-02,Setor Bueno ,48
2020-05-02,Setor Oeste ,39
2020-05-02,Jd. Goiás ,18
2020-05-02,Setor Marista ,14
2020-05-02,Parque Amazônia ,14
2020-05-02,Jardim América ,13
2020-05-02,Setor Jaó ,10
2020-05-02,Setor Pedro Ludovico ,10
2020-05-02,Jd. Valência ,9
2020-05-02,Setor Aeroporto ,8
2020-05-02,Setor Leste Universitário ,8
2020-05-02,Setor Negrão de Lima ,8
2020-05-02,Setor Central ,7
2020-05-02,Jd. Novo Mundo ,7
2020-05-02,Setor Urias Magalhaes ,6
2020-05-02,Jd. Guanabara ,6
2020-05-02,Alphaville Flamboyant ,6
2020-05-02,Setor Bela Vista ,6
2020-05-02,Cidade Jardim ,5
2020-05-02,Setor Sudoeste ,5
2020-05-02,Res. Eldorado ,4
2020-05-02,Res. Aldeia do Vale ,4
2020-05-02,Setor Candida de Morais ,4
2020-05-02,Setor Leste Vila Nova ,4
2020-05-02,Alto da Glória ,4
2020-05-02,Res. Recanto das Garças ,4
2020-05-02,Setor Sul ,4
2020-05-02,Parque Industrial de Goiânia ,3
2020-05-02,Jd. Bela Vista ,3
2020-05-02,Jd. Balneário Meia Ponte ,3
2020-05-02,Vila Canaa ,3
2020-05-02,Vila Concórdia ,3
2020-05-02,Res. Jardim Florença ,3
2020-05-02,Outros bairros ,143
2020-04-29,Setor Bueno ,45
2020-04-29,Setor Oeste ,35
2020-04-29,Jd. Goiás ,17
2020-04-29,Setor Marista ,13
2020-04-29,Parque Amazônia ,12
2020-04-29,Jardim América ,10
2020-04-29,Setor Jaó ,10
2020-04-29,Setor Pedro Ludovico ,9
2020-04-29,Setor Aeroporto ,8
2020-04-29,Setor Leste Universitário ,8
2020-04-29,Setor Central ,7
2020-04-29,Alphaville Flamboyant ,6
2020-04-29,Setor Negrão de Lima ,6
2020-04-29,Jd. Valência ,6
2020-04-29,Setor Bela Vista ,6
2020-04-29,Jd. Novo Mundo ,5
2020-04-29,Jd. Guanabara ,5
2020-04-29,Setor Urias Magalhaes ,5
2020-04-29,Cidade Jardim ,5
2020-04-29,Setor Sudoeste ,5
2020-04-29,Setor Sul ,4
2020-04-29,Setor Candida de Morais ,4
2020-04-29,Res. Recanto das Garças ,4
2020-04-29,Res. Jardim Florença ,3
2020-04-29,Jd. Bela Vista ,3
2020-04-29,Setor Leste Vila Nova ,3
2020-04-29,Parque das Laranjeiras ,3
2020-04-29,Alto da Glória ,3
2020-04-29,Vila Maria José ,3
2020-04-29,Vila João Vaz ,3
2020-04-29,Jd. Balneário Meia Ponte ,3
2020-04-29,Parque Industrial de Goiânia ,3
2020-04-29,Parque Oeste Industrial ,3
2020-04-29,Outros bairros ,111
2020-04-30,Setor Bueno ,48
2020-04-30,Setor Oeste ,39
2020-04-30,Jd. Goiás ,18
2020-04-30,Parque Amazônia ,14
2020-04-30,Setor Marista ,14
2020-04-30,Jardim América ,13
2020-04-30,Setor Pedro Ludovico ,10
2020-04-30,Setor Jaó ,10
2020-04-30,Setor Aeroporto ,8
2020-04-30,Setor Leste Universitário ,8
2020-04-30,Setor Central ,7
2020-04-30,Jd. Valência ,6
2020-04-30,Jd. Novo Mundo ,6
2020-04-30,Setor Negrão de Lima ,6
2020-04-30,Setor Bela Vista ,6
2020-04-30,Alphaville Flamboyant ,6
2020-04-30,Jd. Guanabara ,6
2020-04-30,Setor Urias Magalhaes ,5
2020-04-30,Setor Sudoeste ,5
2020-04-30,Cidade Jardim ,5
2020-04-30,Setor Leste Vila Nova ,4
2020-04-30,Setor Candida de Morais ,4
2020-04-30,Res. Aldeia do Vale ,4
2020-04-30,Res. Recanto das Garças ,4
2020-04-30,Setor Sul ,4
2020-04-30,Res. Eldorado ,4
2020-04-30,Alto da Glória ,4
2020-04-30,Parque Oeste Industrial ,3
2020-04-30,Parque Industrial de Goiânia ,3
2020-04-30,Vila Concórdia ,3
2020-04-30,Santa Genoveva ,3
2020-04-30,Parque das Laranjeiras ,3
2020-04-30,Jd. Bela Vista ,3
2020-04-30,Outros bairros ,136
2020-05-03,Setor Bueno ,52
2020-05-03,Setor Oeste ,39
2020-05-03,Jd. Goiás ,18
2020-05-03,Setor Marista ,16
2020-05-03,Parque Amazônia ,14
2020-05-03,Jardim América ,14
2020-05-03,Setor Jaó ,10
2020-05-03,Setor Leste Universitário ,10
2020-05-03,Setor Pedro Ludovico ,10
2020-05-03,Setor Aeroporto ,9
2020-05-03,Jd. Valência ,9
2020-05-03,Setor Negrão de Lima ,8
2020-05-03,Jd. Novo Mundo ,7
2020-05-03,Setor Central ,7
2020-05-03,Setor Urias Magalhaes ,6
2020-05-03,Alphaville Flamboyant ,6
2020-05-03,Setor Sudoeste ,6
2020-05-03,Jd. Guanabara ,6
2020-05-03,Setor Bela Vista ,6
2020-05-03,Cidade Jardim ,5
2020-05-03,Res. Aldeia do Vale ,4
2020-05-03,Setor Leste Vila Nova ,4
2020-05-03,Setor Sul ,4
2020-05-03,Res. Eldorado ,4
2020-05-03,Alto da Glória ,4
2020-05-03,Res. Recanto das Garças ,4
2020-05-03,Setor Candida de Morais ,4
2020-05-03,Res. Jardim Florença ,3
2020-05-03,Parque das Laranjeiras ,3
2020-05-03,Parque Oeste Industrial ,3
2020-05-03,Vila João Vaz ,3
2020-05-03,Vila Maria José ,3
2020-05-03,Vila Concórdia ,3
2020-05-03,Outros bairros ,145
2020-05-11,Setor Bueno ,73
2020-05-11,Setor Oeste ,57
2020-05-11,Jd. Goiás ,25
2020-05-11,Jardim América ,23
2020-05-11,Setor Marista ,22
2020-05-11,Setor Pedro Ludovico ,20
2020-05-11,Setor Leste Universitário ,15
2020-05-11,Parque Amazônia ,15
2020-05-11,Setor Aeroporto ,14
2020-05-11,Setor Negrão de Lima ,12
2020-05-11,Setor Central ,11
2020-05-11,Setor Jaó ,11
2020-05-11,Jd. Valência ,11
2020-05-11,Jd. Novo Mundo ,11
2020-05-11,Setor Bela Vista ,11
2020-05-11,Setor Urias Magalhaes ,11
2020-05-11,Res. Aldeia do Vale ,10
2020-05-11,Setor Sul ,10
2020-05-11,Alphaville Flamboyant ,9
2020-05-11,Jd. Guanabara ,8
2020-05-11,Setor Leste Vila Nova ,7
2020-05-11,Setor Sudoeste ,7
2020-05-11,Res. Eldorado ,6
2020-05-11,Alto da Glória ,6
2020-05-11,Vila João Vaz ,6
2020-05-11,Res. Jardim Florença ,5
2020-05-11,Setor Candida de Morais ,5
2020-05-11,Goiânia 2 ,5
2020-05-11,Santa Genoveva ,5
2020-05-11,Vila Concórdia ,5
2020-05-11,Portal do Sol II ,5
2020-05-11,Capuava ,5
2020-05-11,Cidade Jardim ,5
2020-05-11,Outros bairros ,249
2020-05-16,Setor Bueno ,89
2020-05-16,Setor Oeste ,71
2020-05-16,Jardim América ,29
2020-05-16,Jd. Goiás ,28
2020-05-16,Setor Marista ,26
2020-05-16,Setor Pedro Ludovico ,25
2020-05-16,Parque Amazônia ,20
2020-05-16,Setor Aeroporto ,19
2020-05-16,Setor Leste Universitário ,18
2020-05-16,Jd. Novo Mundo ,16
2020-05-16,Setor Central ,16
2020-05-16,Setor Urias Magalhaes ,16
2020-05-16,Alphaville Flamboyant ,14
2020-05-16,Setor Bela Vista ,13
2020-05-16,Res. Aldeia do Vale ,13
2020-05-16,Setor Negrão de Lima ,13
2020-05-16,Setor Jaó ,12
2020-05-16,Jd. Valência ,11
2020-05-16,Setor Sul ,11
2020-05-16,Jd. Guanabara ,10
2020-05-16,Vila João Vaz ,9
2020-05-16,Res. Eldorado ,8
2020-05-16,Cidade Jardim ,7
2020-05-16,Goiânia 2 ,7
2020-05-16,Setor Leste Vila Nova ,7
2020-05-16,Capuava ,7
2020-05-16,Setor Sudoeste ,7
2020-05-16,Conjunto Vera Cruz ,6
2020-05-16,Setor Candida de Morais ,6
2020-05-16,Vila Concórdia ,6
2020-05-16,Alto da Glória ,6
2020-05-16,Vila São José - Extensão ,6
2020-05-16,Vila Canaa ,6
2020-05-16,Outros bairros ,336
2020-05-17,Setor Bueno ,89
2020-05-17,Setor Oeste ,71
2020-05-17,Jardim América ,29
2020-05-17,Jd. Goiás ,28
2020-05-17,Setor Marista ,26
2020-05-17,Setor Pedro Ludovico ,25
2020-05-17,Parque Amazônia ,20
2020-05-17,Setor Aeroporto ,19
2020-05-17,Setor Leste Universitário ,18
2020-05-17,Jd. Novo Mundo ,16
2020-05-17,Setor Central ,16
2020-05-17,Setor Urias Magalhaes ,16
2020-05-17,Alphaville Flamboyant ,14
2020-05-17,Setor Bela Vista ,13
2020-05-17,Res. Aldeia do Vale ,13
2020-05-17,Setor Negrão de Lima ,13
2020-05-17,Setor Jaó ,12
2020-05-17,Jd. Valência ,11
2020-05-17,Setor Sul ,11
2020-05-17,Jd. Guanabara ,10
2020-05-17,Vila João Vaz ,9
2020-05-17,Res. Eldorado ,8
2020-05-17,Cidade Jardim ,7
2020-05-17,Goiânia 2 ,7
2020-05-17,Setor Leste Vila Nova ,7
2020-05-17,Capuava ,7
2020-05-17,Setor Sudoeste ,7
2020-05-17,Conjunto Vera Cruz ,6
2020-05-17,Setor Candida de Morais ,6
2020-05-17,Vila Concórdia ,6
2020-05-17,Alto da Glória ,6
2020-05-17,Vila São José - Extensão ,6
2020-05-17,Vila Canaa ,6
2020-05-17,Outros bairros ,336
2020-05-18,Setor Bueno ,92
2020-05-18,Setor Oeste ,71
2020-05-18,Jardim América ,31
2020-05-18,Jd. Goiás ,28
2020-05-18,Setor Pedro Ludovico ,26
2020-05-18,Setor Marista ,26
2020-05-18,Parque Amazônia ,23
2020-05-18,Setor Leste Universitário ,20
2020-05-18,Setor Aeroporto ,19
2020-05-18,Setor Central ,17
2020-05-18,Jd. Novo Mundo ,17
2020-05-18,Setor Bela Vista ,16
2020-05-18,Setor Urias Magalhaes ,16
2020-05-18,Alphaville Flamboyant ,15
2020-05-18,Setor Sul ,14
2020-05-18,Res. Aldeia do Vale ,13
2020-05-18,Setor Negrão de Lima ,13
2020-05-18,Setor Jaó ,12
2020-05-18,Jd. Guanabara ,11
2020-05-18,Jd. Valência ,11
2020-05-18,Vila João Vaz ,10
2020-05-18,Setor Leste Vila Nova ,8
2020-05-18,Jd. Itaipu ,8
2020-05-18,Setor Sudoeste ,8
2020-05-18,Res. Eldorado ,8
2020-05-18,Goiânia 2 ,7
2020-05-18,Capuava ,7
2020-05-18,Cidade Jardim ,7
2020-05-18,Setor Coimbra ,7
2020-05-18,Vila São José - Extensão ,6
2020-05-18,Setor Candida de Morais ,6
2020-05-18,Vila Concórdia ,6
2020-05-18,Vila Canaa ,6
2020-05-18,Outros bairros ,380
2020-05-21,Setor Bueno ,106
2020-05-21,Setor Oeste ,73
2020-05-21,Jardim América ,36
2020-05-21,Jd. Goiás ,31
2020-05-21,Setor Marista ,27
2020-05-21,Setor Pedro Ludovico ,27
2020-05-21,Parque Amazônia ,26
2020-05-21,Setor Leste Universitário ,22
2020-05-21,Setor Aeroporto ,22
2020-05-21,Jd. Novo Mundo ,20
2020-05-21,Setor Central ,20
2020-05-21,Setor Sul ,16
2020-05-21,Jd. Guanabara ,16
2020-05-21,Setor Urias Magalhaes ,16
2020-05-21,Setor Bela Vista ,16
2020-05-21,Alphaville Flamboyant ,15
2020-05-21,Setor Negrão de Lima ,14
2020-05-21,Res. Aldeia do Vale ,14
2020-05-21,Setor Jaó ,12
2020-05-21,Jd. Valência ,11
2020-05-21,Vila João Vaz ,10
