Conjunto Vera Cruz ,Jardim América ,Jd. Balneário Meia Ponte ,Jd. Curitiba ,Jd. Goiás ,Jd. Guanabara ,Jd. Nova Esperanca ,Jd. Novo Mundo ,Parque Amazônia ,Setor Bueno ,Setor Central ,Setor Leste Universitário ,Setor Marista ,Setor Oeste ,Setor Pedro Ludovico ,Setor Urias Magalhaes ,Vila Itatiaia ,Vila Jardim São Judas Tadeu 
,10.0,3.0,,17.0,5.0,,5.0,12.0,45.0,7.0,8.0,13.0,35.0,9.0,5.0,,
,13.0,,,18.0,6.0,,6.0,14.0,48.0,7.0,8.0,14.0,39.0,10.0,5.0,,
,13.0,,,18.0,6.0,,6.0,14.0,48.0,7.0,8.0,14.0,39.0,10.0,5.0,,
,13.0,3.0,,18.0,6.0,,7.0,14.0,48.0,7.0,8.0,14.0,39.0,10.0,6.0,,
,14.0,,,18.0,6.0,,7.0,14.0,52.0,7.0,10.0,16.0,39.0,10.0,6.0,,
,15.0,,,18.0,6.0,,7.0,14.0,53.0,7.0,10.0,18.0,40.0,10.0,7.0,,
,17.0,,,21.0,7.0,,8.0,14.0,55.0,8.0,10.0,19.0,43.0,12.0,7.0,,
,17.0,,,21.0,7.0,,8.0,14.0,55.0,8.0,10.0,19.0,43.0,12.0,7.0,,
,17.0,,,22.0,8.0,,8.0,14.0,59.0,8.0,10.0,19.0,43.0,12.0,7.0,,
,17.0,,,22.0,8.0,,9.0,15.0,61.0,9.0,10.0,21.0,53.0,12.0,7.0,,
,17.0,,,22.0,8.0,,9.0,15.0,61.0,9.0,10.0,21.0,53.0,12.0,7.0,,
,17.0,,,22.0,8.0,,9.0,15.0,61.0,9.0,10.0,21.0,53.0,12.0,7.0,,
,23.0,,,25.0,8.0,,11.0,15.0,73.0,11.0,15.0,22.0,57.0,20.0,11.0,,
5.0,23.0,,,25.0,8.0,,11.0,16.0,73.0,11.0,15.0,22.0,57.0,20.0,11.0,,
,26.0,,,25.0,8.0,,14.0,17.0,77.0,12.0,15.0,23.0,62.0,24.0,13.0,,
5.0,26.0,,,25.0,9.0,,15.0,17.0,81.0,13.0,15.0,23.0,62.0,25.0,13.0,,
6.0,29.0,,,28.0,9.0,,16.0,20.0,89.0,16.0,18.0,26.0,70.0,25.0,15.0,,
6.0,29.0,,,28.0,10.0,,16.0,20.0,89.0,16.0,18.0,26.0,71.0,25.0,16.0,,
6.0,29.0,,,28.0,10.0,,16.0,20.0,89.0,16.0,18.0,26.0,71.0,25.0,16.0,,
,31.0,,,28.0,11.0,,17.0,23.0,92.0,17.0,20.0,26.0,71.0,26.0,16.0,,
8.0,32.0,,,28.0,12.0,,19.0,23.0,92.0,17.0,21.0,26.0,71.0,26.0,16.0,,
8.0,33.0,,,29.0,13.0,6.0,19.0,24.0,99.0,18.0,21.0,27.0,72.0,27.0,16.0,,
8.0,36.0,,,31.0,16.0,7.0,20.0,26.0,106.0,20.0,22.0,27.0,73.0,27.0,16.0,,
8.0,39.0,,,31.0,16.0,8.0,20.0,26.0,106.0,20.0,22.0,27.0,73.0,27.0,17.0,,
,44.0,,,38.0,22.0,10.0,23.0,30.0,116.0,25.0,23.0,32.0,80.0,29.0,19.0,,
10.0,44.0,,,38.0,23.0,12.0,25.0,31.0,118.0,25.0,25.0,32.0,80.0,29.0,19.0,,
11.0,44.0,,,38.0,18.0,11.0,25.0,29.0,118.0,25.0,25.0,31.0,81.0,32.0,23.0,,
11.0,44.0,,,38.0,34.0,13.0,27.0,32.0,119.0,31.0,26.0,32.0,81.0,30.0,19.0,,
